         130657 function calls (127146 primitive calls) in 28.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _base_call.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_call.py:152(UnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:179(StreamUnaryCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:208(StreamStreamCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:36(RpcContext)
        1    0.000    0.000    0.000    0.000 _base_call.py:89(Call)
        1    0.000    0.000    0.000    0.000 _base_channel.py:106(StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_channel.py:145(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:184(Channel)
        1    0.000    0.000    0.000    0.000 _base_channel.py:28(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:67(UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_server.py:138(ServicerContext)
        1    0.000    0.000    0.000    0.000 _base_server.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_server.py:28(Server)
        1    0.000    0.000    0.001    0.001 _call.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _call.py:160(Call)
        1    0.000    0.000    0.000    0.000 _call.py:249(_APIStyle)
        1    0.000    0.000    0.000    0.000 _call.py:255(_UnaryResponseMixin)
        1    0.000    0.000    0.000    0.000 _call.py:296(_StreamResponseMixin)
        1    0.000    0.000    0.000    0.000 _call.py:366(_StreamRequestMixin)
        1    0.000    0.000    0.000    0.000 _call.py:486(UnaryUnaryCall)
        1    0.000    0.000    0.000    0.000 _call.py:535(UnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _call.py:576(StreamUnaryCall)
        1    0.000    0.000    0.000    0.000 _call.py:60(AioRpcError)
        1    0.000    0.000    0.000    0.000 _call.py:613(StreamStreamCall)
        1    0.000    0.000    0.000    0.000 _channel.py:116(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.001    0.001 _channel.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _channel.py:147(UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:179(StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:210(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:241(Channel)
        1    0.000    0.000    0.000    0.000 _channel.py:72(_BaseMultiCallable)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:152(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:311(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:358(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:405(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:675(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:682(__contains__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:74(_check_methods)
        2    0.000    0.000    0.000    0.000 _common.py:101(fully_qualified_method)
      275    0.001    0.000   28.491    0.104 _common.py:105(_wait_once)
        1    0.001    0.001   28.492   28.492 _common.py:111(wait)
        1    0.000    0.000    0.000    0.000 _common.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:152(validate_port_binding_result)
