4.930765151977539s 	18506294 photons in 1008640 bins
6.299368858337402s 	18506294 photons in 1008640 bins
         9174210 function calls (9172717 primitive calls) in 11.281 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _channel.py:1559(__exit__)
        1    0.000    0.000    0.000    0.000 _channel.py:1566(__del__)
      986    0.000    0.000    0.000    0.000 _channel.py:170(_event_handler)
        1    0.000    0.000    0.000    0.000 _channel.py:179(StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:210(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:241(Channel)
        1    0.000    0.000    0.000    0.000 _channel.py:283(_InactiveRpcError)
        1    0.000    0.000    0.000    0.000 _channel.py:361(_Rendezvous)
        1    0.000    0.000    0.000    0.000 _channel.py:375(__init__)
        1    0.000    0.000    0.000    0.000 _channel.py:419(__iter__)
      986    0.001    0.000    4.913    0.005 _channel.py:425(__next__)
        1    0.000    0.000    0.000    0.000 _channel.py:443(__del__)
        1    0.000    0.000    0.000    0.000 _channel.py:455(_SingleThreadedRendezvous)
        1    0.000    0.000    0.000    0.000 _channel.py:652(_MultiThreadedRendezvous)
        1    0.000    0.000    0.000    0.000 _channel.py:72(_BaseMultiCallable)
      986    0.005    0.000    4.912    0.005 _channel.py:795(_next)
     1970    0.001    0.000    0.001    0.000 _channel.py:811(_response_ready)
        2    0.000    0.000    0.004    0.002 _channel.py:829(_start_unary_request)
        2    0.000    0.000    0.000    0.000 _channel.py:84(_deadline)
        1    0.000    0.000    0.000    0.000 _channel.py:841(_end_unary_response_blocking)
        2    0.000    0.000    0.000    0.000 _channel.py:873(_determine_deadline)
        1    0.000    0.000    0.000    0.000 _channel.py:885(_UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:888(__init__)
        1    0.000    0.000    0.000    0.000 _channel.py:897(_prepare)
        1    0.000    0.000    6.296    6.296 _channel.py:919(_blocking)
        1    0.000    0.000    0.000    0.000 _channel.py:93(_RPCState)
        1    0.000    0.000    6.296    6.296 _channel.py:937(__call__)
        2    0.000    0.000    0.000    0.000 _channel.py:95(__init__)
        1    0.000    0.000    0.000    0.000 _channel.py:982(_SingleThreadedUnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:152(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:311(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:358(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:405(__subclasshook__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:675(get)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:682(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:74(_check_methods)
      985    0.001    0.000    4.897    0.005 _common.py:105(_wait_once)
      985    0.001    0.000    4.899    0.005 _common.py:111(wait)
        1    0.000    0.000    0.000    0.000 _common.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:57(<dictcomp>)
        3    0.000    0.000    0.000    0.000 _common.py:68(encode)
        3    0.000    0.000    1.517    0.506 _common.py:81(_transform)
        2    0.000    0.000    0.004    0.002 _common.py:92(serialize)
        1    0.000    0.000    1.513    1.513 _common.py:96(deserialize)
        1    0.000    0.000    0.018    0.018 _compression.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:37(create_channel_option)
        2    0.000    0.000    0.000    0.000 _compression.py:42(augment_metadata)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _grpcio_metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:102(ClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:106(UnaryUnaryClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:139(UnaryStreamClientInterceptor)
        1    0.000    0.000    0.001    0.001 _interceptor.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:176(StreamUnaryClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:217(StreamStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:262(InterceptedCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:439(_InterceptedUnaryResponseMixin)
        1    0.000    0.000    0.000    0.000 _interceptor.py:447(_InterceptedStreamResponseMixin)
        1    0.000    0.000    0.000    0.000 _interceptor.py:474(_InterceptedStreamRequestMixin)
        1    0.000    0.000    0.000    0.000 _interceptor.py:48(ServerInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:563(InterceptedUnaryUnaryCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:638(InterceptedUnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:718(InterceptedStreamUnaryCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:76(ClientCallDetails)
        1    0.000    0.000    0.000    0.000 _interceptor.py:792(InterceptedStreamStreamCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:875(UnaryUnaryCallResponse)
        1    0.000    0.000    0.000    0.000 _interceptor.py:923(_StreamCallResponseIterator)
        1    0.000    0.000    0.000    0.000 _interceptor.py:971(UnaryStreamCallResponseIterator)
        1    0.000    0.000    0.000    0.000 _interceptor.py:981(StreamStreamCallResponseIterator)
        1    0.000    0.000    0.000    0.000 _metadata.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _metadata.py:23(Metadata)
        1    0.000    0.000    0.000    0.000 _runtime_protos.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _server.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _server.py:35(Server)
